Date/Time,热负荷/kWh,冷负荷/kWh,电负荷/kWh
Year 1 Jan 18 10:00,1587.20574224137,0,2063.72717938151
Year 1 Jan 18 11:00,0,0,268.282881917347
Year 1 Jan 18 12:00,0,0,268.282881917347
Year 1 Jan 18 13:00,0,0,268.282881917347
Year 1 Jan 18 14:00,0,0,268.282881917347
Year 1 Jan 18 15:00,2197.605524,0,268.282881917347
Year 1 Jan 18 16:00,2094.17399898302,0,268.282881917347
Year 1 Jan 18 17:00,2883.52705197241,0,610.705825464329
Year 1 Jan 18 18:00,4308.97604940189,0,686.655011509517
Year 1 Jan 18 19:00,4009.37561562547,0,1031.08159047369
Year 1 Jan 18 20:00,3594.37588642815,0,2153.25902830749
Year 1 Jan 18 21:00,6001.04367442142,0,2229.20821435268
Year 1 Jan 18 22:00,5849.6729793906,0,2117.57226868664
Year 1 Jan 18 23:00,4940.95629506848,0,1632.39048398031
Year 1 Jan 19 0:00,2666.65546543375,0,149.24179646217
Year 1 Jan 19 1:00,2794.78807467007,0,73.2926104169826
Year 1 Jan 19 2:00,2846.25568423246,0,73.2926104169826
Year 1 Jan 19 3:00,2921.68077270785,0,73.2926104169826
Year 1 Jan 19 4:00,3030.11090591013,0,73.2926104169826
